time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.523453842237299e-08,1.3563181084065337e-07,0.0012956704222022736,0.00015683800818511173,6.283090227944907,0.0,6.098835342632239e-06,1.2286345181514022e-05,0.0431879101286941,0.007387441796407537,-0.004959147994063569,0.0,418.60059786554297,418.16894253826115,418.2683568850302,418.9110653483889
0.12000000000000001,3.4002854108964993e-06,5.71723976746156e-06,0.006854201281975023,0.00044412232879142977,6.282922312230054,0.0,0.0001287832582510552,0.000211564649152355,0.14208854646422472,-0.0009967333298441885,0.0012060330246535553,0.0,436.91041950293925,437.4240916914278,436.29542919174827,435.5949135341783
0.18,1.5980492368850382e-05,2.6834942912195888e-05,0.01685342198936348,0.0005430104408192804,6.282835905157572,0.0,0.00029064310567052256,0.0004946407653262177,0.19121140104292128,0.006473234782188208,-0.007341692306558709,0.0,421.17582565147916,420.4360590067288,419.8231510819501,420.4706549375086
0.23999999999999996,4.226706201852302e-05,6.899243792055693e-05,0.03108748256062167,0.0007923635149778008,6.2823228406851115,0.0,0.0006335240417747183,0.0009432111872469981,0.28323824657602337,-0.0009366388672717935,-0.011086753746469169,0.0,435.23433213694034,434.92094880578566,434.05993990132583,433.43768635404996
0.3,0.00010452308211507612,0.00014471743299315692,0.05500518855571554,0.00044259305836735763,6.281639086980851,0.0,0.001523452211008448,0.0015592274330560544,0.5139428962912389,-0.01805873021346546,-0.012021455439749414,0.0,475.70412934446716,475.6326945308896,478.3532590489654,477.04792920249866
0.36000000000000004,0.00023602272968524456,0.00024401737577482892,0.0923504221190055,6.282373332957288,6.281295191998801,0.0,0.0029204919084314216,0.0016121225546283544,0.73078441002129,-0.027326025316177154,0.004557949373545718,0.0,471.9648515049736,473.24263140371806,473.4084709506571,472.6949892890245
0.4200000000000001,0.0004540512304360656,0.00031477327257610325,0.14175153889862177,6.280618024708517,6.281324483766385,0.0,0.004327717359712624,0.0005524015802726953,0.9157890893811975,-0.033422399996609606,-0.009238084872299962,0.0,464.0231183070334,462.9389852099189,464.0704347431145,463.5915021019947
0.48000000000000015,0.0007595898356710693,0.00027905676642091704,0.2024543573919869,6.278532201116917,6.28033456541119,0.0,0.005937930217042736,-0.0019787077815456747,1.1074711393079588,-0.03759056276638874,-0.03783164148733624,0.0,466.93542191946244,464.69970592118955,466.2329844547392,465.9067982780664
0.5400000000000001,0.001191528742861251,4.3600860167463694e-05,0.2743581815642418,6.276646345522638,6.277982426303918,0.0,0.008722903678653901,-0.006102584258493961,1.289133565134546,-0.021319860897935194,-0.04209437160703204,0.0,462.1606344124027,461.82385941269763,464.001284921456,465.2763752952982
0.6000000000000002,0.0018512488251000983,-0.0004858196278610092,0.3581347987025172,6.2750335413204095,6.275662375507734,0.0,0.013553425885615804,-0.011710921642379975,1.5031608558797591,-0.041337747172502534,-0.0325711504289697,0.0,472.93629928264954,473.6685015249364,474.1291340593792,472.58865900880585
0.6600000000000003,0.0028262677945984204,-0.0013648557594806146,0.451193999987632,6.272900868573583,6.27376742354852,0.0,0.019141148817726175,-0.017820875506949066,1.59867983641775,-0.02593703418536515,-0.02967553637282169,0.0,437.23216356750623,437.47294140207583,437.4644525300078,438.74422407609967
0.7200000000000003,0.004190665419829431,-0.002668857288563859,0.5516744712039164,6.27149869825525,6.271423539034874,0.0,0.026544127830859108,-0.02580521095068144,1.750445144351367,-0.01867454016196256,-0.07480997225284225,0.0,458.4798181140256,454.8787431439972,454.0839580354794,454.66608895048955
0.7800000000000004,0.006093266582990315,-0.004510473390554314,0.6636994057559426,6.270344770769995,6.267341287035963,0.0,0.03738937123491104,-0.03571577424500213,1.9833363030078053,-0.020371199626702915,-0.05710960948126625,0.0,479.43468408002815,480.77432128460936,480.22164162389777,480.09300946668424
0.8400000000000004,0.008705060072241226,-0.006945149927980349,0.7873906610834436,6.269403083205987,6.263725316684752,0.0,0.05005317381930972,-0.04555424823084888,2.1394179220503746,-0.007683812454792899,-0.06747085115022526,0.0,459.41672028461363,458.59201014396245,456.78325370831493,457.79393566137816
0.9000000000000005,0.012182641203998307,-0.010003663954511606,0.9215616211029338,6.2690926968920415,6.259485974057499,0.0,0.06633728056476407,-0.056435107758912424,2.3325623392383403,-0.0005728403490381441,-0.07793400005871065,0.0,469.8271954168858,469.01172494556613,470.0535911587079,470.6043954872472
0.9600000000000005,0.01674982898577846,-0.01372671724435205,1.0677776900959766,6.269345564408367,6.255363391884607,0.0,0.08640534000642693,-0.06764584076252105,2.540853614970982,0.012389433927654417,-0.05474886754429614,0.0,474.62134314313266,476.39394336269,474.2693311075466,475.2637690691162
1.0200000000000005,0.02247110127033478,-0.018044084359280083,1.2214516577896686,6.269617741237003,6.2520952240844885,0.0,0.10460647279300829,-0.07620975929313016,2.581511379616009,-0.019812006782424237,-0.05391664622932028,0.0,424.5271578232929,424.59642899452376,425.1020113117536,422.33369602116215
1.0800000000000005,0.02946003455060296,-0.022926465918691467,1.381162664946193,6.267947776976126,6.248450777131669,0.0,0.1287211778340191,-0.08667930428321945,2.741801985256707,-0.0531096307428197,-0.08008942864424963,0.0,463.07081730283176,461.0046891916499,463.285031541104,460.65917946817143
1.1400000000000006,0.037954912772439814,-0.028470189627028134,1.5496842359049896,6.2649061167873406,6.244228300760344,0.0,0.1549070311167894,-0.09843854349945737,2.875231688193352,-0.04625673869622775,-0.05585004543367242,0.0,453.6718185134627,455.6099911703669,454.3909870466838,454.938437833207
